stimulus_id	phase_filename
1.mov	D082920_1349410_0_F8_E19.3_G['TE', 0, 1, 1]_['TE', 0, 1, -1]_ST1_1_SZ0_0_2_3_P7_5_5_7_A0_0_C0_0_AN-6.03_-1.89_MCTS_L100_R0.0_-10.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e16.mp4
2.mov	D082720_1013370_0_F8_E21.2_G['LMA', 1, 2, -1]_['LMA', 1, 2, 1]_ST3_1_SZ0_0_3_1_P6_12_2_14_A0_0_C0_0_AN-5.89_5.62_MCTS_L100_R-10.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e55.mp4
3.mov	D082720_2053550_0_F8_E21_G['LMA', 1, 1, -1]_['LMA', 1, 1, 1]_ST2_1_SZ0_0_1_0_P12_15_11_4_A0_0_C0_0_AN-1.24_5.54_MCTS_L100_R-10.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e38.mp4
4.mov	D083020_1308280_0_F8_E7.3_G['LMO', 0, 0, 1]_['LMO', 1, 3, 1]_ST2_3_SZ1_0_1_3_P7_5_12_17_A0_0_C0_0_AN-2.59_-2.82_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e66.mp4
5.mov	D082820_2132410_0_F8_E20.3_G['LMO', 1, 2, 1]_['LMO', 1, 2, 1]_ST3_0_SZ0_0_3_0_P12_2_3_2_A0_0_C0_0_AN-2.45_-4.96_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e80.mp4
6.mov	D083020_0659520_0_F8_E17.1_G['LMO', 0, 2, 1]_['LMA', 1, 1, 1]_ST1_2_SZ2_0_0_3_P16_5_6_7_A0_0_C0_0_AN4.78_-4.52_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e78.mp4
7.mov	D083020_1021040_0_F8_E20.3_G['LMO', 1, 1, 1]_['LMO', 1, 1, 1]_ST2_2_SZ0_0_1_0_P11_2_3_4_A0_0_C0_0_AN2.22_-5.79_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e18.mp4
8.mov	D082420_1807070_0_F8_E13.1_G['LMA', 1, 3, -1]_['LMA', 1, 3, 1]_ST3_1_SZ3_0_1_2_P6_2_11_17_A0_0_C0_0_AN-0.74_-1.74_MCTS_L100_R-10.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e28.mp4
9.mov	D082920_2006220_0_F8_E14_G['LMO', 0, 0, 1]_['LMO', 0, 0, 1]_ST3_3_SZ3_2_0_3_P11_1_2_11_A0_0_C0_0_AN0.18_-3.85_MCTS_L100_R10.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e84.mp4
10.mov	D082920_1327330_0_F8_E0.2_G['LMO', 1, 3, 1]_['LMA', 1, 0, 1]_ST2_0_SZ1_2_2_2_P11_2_10_16_A0_0_C0_0_AN-0.55_1.89_MCTS_L100_R0.0_0.0_PL1_EL1_0_0_s1000_r10_cI1.25_cB1000_e44.mp4
